Comment,Specialist,Subclass,Severity
I've been diagnosed with cardiomyopathy and have heart-related symptoms. I've been experiencing this a few weeks. The condition is stabbing and seems to worsen eating.,Cardiology,Arrhythmias,2
There’s a loud heartbeat that I can hear in my ears. I've been experiencing this a few days. The condition is dull and seems to worsen cold weather.,Cardiology,Pericarditis,10
I've been diagnosed with a heart murmur. I've been experiencing this just today. The condition is sharp and seems to worsen physical activity.,Cardiology,Pericarditis,9
I've been experiencing chronic fatigue. I've been experiencing this for many years. The condition is gradual and seems to worsen climbing stairs.,Cardiology,Cardiomyopathy,3
My blood pressure spikes randomly throughout the day. I've been experiencing this over a year. The condition is dull and seems to worsen lying down.,Cardiology,Coronary artery disease,5
My doctor says I have peripheral artery disease. I've been experiencing this for many years. The condition is dull and seems to worsen eating.,Cardiology,Cardiomyopathy,10
I've experienced a fluttering sensation in my chest. I've been experiencing this a few hours. The condition is sudden and seems to worsen cold weather.,Cardiology,Arrhythmias,2
My ankles are swelling more frequently. I've been experiencing this a few hours. The condition is throbbing and seems to worsen lying down.,Cardiology,Coronary artery disease,9
I've been experiencing chronic fatigue. I've been experiencing this since yesterday. The condition is intermittent and seems to worsen lying down.,Cardiology,Coronary artery disease,3
"There's a family history of heart disease, and I'm worried. I've been experiencing this a few hours. The condition is sharp and seems to worsen climbing stairs.",Cardiology,Heart murmurs,10
My ankles are swelling more frequently. I've been experiencing this several months. The condition is intermittent and seems to worsen eating.,Cardiology,Arrhythmias,10
I've been experiencing chronic fatigue. I've been experiencing this just today. The condition is throbbing and seems to worsen lying down.,Cardiology,Valvular heart disease,4
I've been experiencing chronic fatigue. I've been experiencing this just today. The condition is gradual and seems to worsen climbing stairs.,Cardiology,Heart murmurs,7
"There's a heavy feeling in my chest, especially after meals. I've been experiencing this over a year. The condition is throbbing and seems to worsen physical activity.",Cardiology,Heart murmurs,2
I've noticed my heart races after eating large meals. I've been experiencing this several months. The condition is sharp and seems to worsen eating.,Cardiology,Heart murmurs,8
My doctor mentioned I have a heart valve problem. I've been experiencing this several months. The condition is sharp and seems to worsen lying down.,Cardiology,Heart murmurs,5
I've been having chest pain that spreads to my jaw and back. I've been experiencing this a few hours. The condition is dull and seems to worsen cold weather.,Cardiology,Coronary artery disease,8
My doctor says I have peripheral artery disease. I've been experiencing this since yesterday. The condition is persistent and seems to worsen climbing stairs.,Cardiology,Pericarditis,2
My legs cramp up after walking short distances. I've been experiencing this a few weeks. The condition is persistent and seems to worsen intense exercise.,Cardiology,Coronary artery disease,5
I've noticed my heartbeat is slow and irregular. I've been experiencing this since yesterday. The condition is sudden and seems to worsen cold weather.,Cardiology,Atrial fibrillation,3
My hands and feet are often cold and numb. I've been experiencing this over a year. The condition is gradual and seems to worsen emotional stress.,Cardiology,Coronary artery disease,5
My doctor says I have peripheral artery disease. I've been experiencing this a few weeks. The condition is stabbing and seems to worsen cold weather.,Cardiology,Coronary artery disease,7
I've been told I have congestive heart failure. I've been experiencing this for many years. The condition is dull and seems to worsen cold weather.,Cardiology,Heart failure,7
I often feel pressure in my chest when climbing stairs. I've been experiencing this since yesterday. The condition is stabbing and seems to worsen excessive caffeine.,Cardiology,Atrial fibrillation,3
I've had episodes of fainting without any warning. I've been experiencing this over a year. The condition is throbbing and seems to worsen climbing stairs.,Cardiology,Angina,2
"My heart races suddenly, even when I'm at rest. I've been experiencing this just today. The condition is sharp and seems to worsen intense exercise.",Cardiology,Arrhythmias,6
I've been diagnosed with angina and it flares up during exercise. I've been experiencing this just today. The condition is sudden and seems to worsen climbing stairs.,Cardiology,Endocarditis,1
I often feel dizzy and lightheaded. I've been experiencing this for many years. The condition is stabbing and seems to worsen emotional stress.,Cardiology,Heart failure,6
I've been diagnosed with atrial fibrillation. I've been experiencing this a few hours. The condition is stabbing and seems to worsen physical activity.,Cardiology,Cardiac arrest,10
There are palpitations that make me feel anxious. I've been experiencing this for many years. The condition is dull and seems to worsen lying down.,Cardiology,Peripheral artery disease,5
"There's a family history of heart disease, and I'm worried. I've been experiencing this several months. The condition is dull and seems to worsen lying down.",Cardiology,Arrhythmias,5
There are moments when my heart skips a beat. I've been experiencing this a few hours. The condition is sudden and seems to worsen cold weather.,Cardiology,Myocardial infarction,1
There’s swelling in my abdomen that’s getting worse. I've been experiencing this a few days. The condition is sudden and seems to worsen intense exercise.,Cardiology,Coronary artery disease,9
I’ve experienced a sudden loss of strength in my arms. I've been experiencing this a few hours. The condition is throbbing and seems to worsen emotional stress.,Cardiology,Arrhythmias,1
I experience shortness of breath during light activities. I've been experiencing this since yesterday. The condition is throbbing and seems to worsen climbing stairs.,Cardiology,Heart failure,3
"My heart races suddenly, even when I'm at rest. I've been experiencing this since yesterday. The condition is gradual and seems to worsen climbing stairs.",Cardiology,Heart failure,9
"I've noticed irregular heartbeats, especially at night. I've been experiencing this a few days. The condition is sharp and seems to worsen cold weather.",Cardiology,Angina,5
My pulse feels very weak or irregular. I've been experiencing this a few hours. The condition is dull and seems to worsen cold weather.,Cardiology,Peripheral artery disease,8
My pulse feels very weak or irregular. I've been experiencing this a few hours. The condition is stabbing and seems to worsen excessive caffeine.,Cardiology,Myocardial infarction,7
I have a persistent cough that won't go away. I've been experiencing this over a year. The condition is intermittent and seems to worsen physical activity.,Cardiology,Endocarditis,9
I have difficulty exercising due to shortness of breath. I've been experiencing this several months. The condition is stabbing and seems to worsen cold weather.,Cardiology,Valvular heart disease,8
I've been experiencing chest pain and tightness. I've been experiencing this for many years. The condition is sharp and seems to worsen climbing stairs.,Cardiology,Valvular heart disease,2
I've been experiencing chronic fatigue. I've been experiencing this since yesterday. The condition is intermittent and seems to worsen climbing stairs.,Cardiology,Heart murmurs,1
I've noticed my heart races after eating large meals. I've been experiencing this several months. The condition is persistent and seems to worsen physical activity.,Cardiology,Endocarditis,3
My blood pressure is constantly high despite medication. I've been experiencing this for many years. The condition is stabbing and seems to worsen excessive caffeine.,Cardiology,Angina,3
"I've noticed irregular heartbeats, especially at night. I've been experiencing this for many years. The condition is persistent and seems to worsen physical activity.",Cardiology,Angina,6
I have trouble breathing when I lie down. I've been experiencing this a few weeks. The condition is gradual and seems to worsen climbing stairs.,Cardiology,Cardiac arrest,2
I have trouble breathing when I lie down. I've been experiencing this a few weeks. The condition is intermittent and seems to worsen lying down.,Cardiology,Myocardial infarction,6
I have a persistent cough that won't go away. I've been experiencing this a few weeks. The condition is throbbing and seems to worsen physical activity.,Cardiology,Atrial fibrillation,6
I have difficulty exercising due to shortness of breath. I've been experiencing this a few days. The condition is persistent and seems to worsen cold weather.,Cardiology,Atrial fibrillation,10
I've noticed unexplained weight gain recently. I've been experiencing this just today. The condition is intermittent and seems to worsen cold weather.,Cardiology,Myocardial infarction,8
My doctor mentioned I have a heart valve problem. I've been experiencing this just today. The condition is gradual and seems to worsen physical activity.,Cardiology,Endocarditis,3
I've experienced a fluttering sensation in my chest. I've been experiencing this several months. The condition is persistent and seems to worsen cold weather.,Cardiology,Cardiac arrest,8
I've noticed my heartbeat is slow and irregular. I've been experiencing this since yesterday. The condition is sharp and seems to worsen emotional stress.,Cardiology,Heart murmurs,7
I often feel dizzy and lightheaded. I've been experiencing this for many years. The condition is persistent and seems to worsen intense exercise.,Cardiology,Cardiac arrest,5
I've had a heart attack in the past and feel chest discomfort. I've been experiencing this for many years. The condition is sharp and seems to worsen excessive caffeine.,Cardiology,Cardiac arrest,5
